"ID" "replicate" "c_intra" "f" "eo" "B" "del" "a" "c_glob" "ci" "emax" "e_type" "eo_2" "a_s" "g_s" "ho_type" "ho" "ho_step" "hmin" "Mutation" "mu" "mu_step" "mo" "a_m" "g_m"
158 8 0.2 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
159 9 0.2 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
160 10 0.2 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
161 1 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
162 2 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
163 3 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
164 4 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
165 5 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
166 6 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
167 7 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
168 8 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
169 9 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
170 10 0.25 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
171 1 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
172 2 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
173 3 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
174 4 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
175 5 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
176 6 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
177 7 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
178 8 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
179 9 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
180 10 0.3 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
181 1 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
182 2 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
183 3 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
184 4 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
185 5 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
186 6 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
187 7 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
188 8 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
189 9 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
190 10 0.35 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
191 1 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
192 2 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
193 3 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
194 4 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
195 5 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
196 6 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
197 7 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
198 8 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
199 9 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
200 10 0.4 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
201 1 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
202 2 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
203 3 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
204 4 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
205 5 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
206 6 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
207 7 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
208 8 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
209 9 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
210 10 0.45 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
211 1 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
212 2 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
213 3 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
214 4 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
215 5 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
216 6 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
217 7 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
218 8 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
219 9 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
220 10 0.5 0.1 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
221 1 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
222 2 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
223 3 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
224 4 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
225 5 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
226 6 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
227 7 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
228 8 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
229 9 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
230 10 0 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
231 1 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
232 2 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
233 3 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
234 4 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
235 5 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
236 6 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
237 7 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
238 8 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
239 9 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
240 10 0.05 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
241 1 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
242 2 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
243 3 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
244 4 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
245 5 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
246 6 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
247 7 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
248 8 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
249 9 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
250 10 0.1 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
251 1 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
252 2 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
253 3 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
254 4 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
255 5 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
256 6 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
257 7 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
258 8 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
259 9 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
260 10 0.15 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
261 1 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
262 2 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
263 3 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
264 4 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
265 5 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
266 6 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
267 7 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
268 8 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
269 9 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
270 10 0.2 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
271 1 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
272 2 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
273 3 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
274 4 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
275 5 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
276 6 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
277 7 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
278 8 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
279 9 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
280 10 0.25 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
281 1 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
282 2 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
283 3 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
284 4 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
285 5 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
286 6 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
287 7 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
288 8 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
289 9 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
290 10 0.3 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
291 1 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
292 2 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
293 3 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
294 4 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
295 5 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
296 6 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
297 7 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
298 8 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
299 9 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
300 10 0.35 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
301 1 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
302 2 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
303 3 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
304 4 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
305 5 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
306 6 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
307 7 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
308 8 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
309 9 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
310 10 0.4 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
311 1 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
312 2 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
313 3 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
314 4 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
315 5 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
316 6 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
317 7 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
318 8 0.45 0.2 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
